Date,debian/12,fedora/41,linuxmint/18.3,linuxmint/22,neon/24.04,ubuntu/16.04,ubuntu/18.04,ubuntu/22.04,ubuntu/23.04,ubuntu/24.04,ubuntu/24.10,zorin/17
2024-11-10,None,None,None,None,None,None,None,None,None,2,None,None
2024-11-11,None,None,None,None,None,None,None,None,None,2,None,None
2024-11-12,None,None,None,1,None,None,None,None,None,3,None,None
2024-11-13,None,None,None,1,None,None,None,None,None,3,None,None
2024-11-14,None,None,None,1,None,None,None,None,None,3,None,None
2024-11-15,None,None,None,1,None,None,None,None,None,3,1,None
2024-11-16,None,None,None,1,None,None,None,None,None,3,1,None
2024-11-17,None,None,None,1,None,None,None,None,None,3,1,None
2024-11-18,None,None,None,1,None,None,None,None,None,4,1,None
2024-11-19,1,None,None,1,None,None,None,None,None,3,1,None
2024-11-20,1,None,None,1,None,None,None,None,1,3,1,None
2024-11-21,1,None,None,1,None,None,None,None,1,3,1,None
2024-11-22,1,None,None,1,None,None,None,None,1,3,1,None
2024-11-23,1,None,None,1,None,None,None,None,1,4,1,1
2024-11-24,1,None,None,1,None,None,None,None,1,4,1,1
2024-11-25,1,None,None,1,None,None,None,None,1,3,1,1
2024-11-26,None,None,1,1,None,None,None,None,1,3,1,1
2024-11-27,None,None,1,None,None,None,None,None,1,3,1,1
2024-11-28,None,None,1,None,None,None,None,None,1,4,None,1
2024-11-29,None,None,1,None,None,None,None,None,1,4,None,1
2024-11-30,None,None,1,None,None,1,None,None,1,3,None,1
2024-12-01,None,None,1,None,None,1,None,None,None,3,None,1
2024-12-02,None,None,1,None,None,1,None,None,None,3,None,1
2024-12-03,None,None,None,None,None,1,None,None,None,5,None,1
2024-12-04,None,None,None,None,None,1,1,None,None,5,None,1
2024-12-05,None,None,None,None,None,1,1,None,None,5,None,1
2024-12-06,None,None,None,None,None,1,1,None,None,6,None,1
2024-12-07,None,None,None,None,None,1,1,None,None,7,None,1
2024-12-08,None,None,None,None,None,1,1,None,None,7,None,None
2024-12-09,None,None,None,None,None,1,1,None,None,7,None,None
2024-12-10,None,None,None,None,None,1,1,None,None,6,None,1
2024-12-11,None,None,None,None,None,1,None,None,None,6,None,1
2024-12-12,None,None,None,None,None,1,None,None,None,6,None,1
2024-12-13,None,None,None,None,None,1,None,None,None,7,None,1
2024-12-14,None,None,None,None,None,1,None,None,None,8,None,1
2024-12-15,None,None,None,None,None,1,None,None,None,8,None,1
2024-12-16,None,None,None,None,None,1,1,None,None,9,None,2
2024-12-17,None,None,None,None,None,1,1,None,None,8,None,2
2024-12-18,None,None,None,None,None,1,1,None,None,8,1,1
2024-12-19,None,None,None,None,None,1,1,None,None,8,1,1
2024-12-20,None,1,None,None,None,None,1,None,None,8,1,1
2024-12-21,None,1,None,None,None,None,1,None,None,8,1,2
2024-12-22,None,1,None,None,None,None,1,None,None,9,1,2
2024-12-23,None,1,None,None,None,None,1,None,None,9,1,2
2024-12-24,1,1,None,None,None,None,None,None,None,9,1,2
2024-12-25,1,1,None,None,None,None,None,None,None,10,None,2
2024-12-26,1,1,None,None,None,None,None,None,None,10,None,2
2024-12-27,1,1,None,None,None,None,None,1,None,10,None,2
2024-12-28,1,1,None,None,None,None,None,1,None,9,None,1
2024-12-29,1,1,None,None,None,None,None,1,None,8,None,1
2024-12-30,1,1,None,None,1,None,None,1,None,6,None,1
2024-12-31,1,1,None,None,1,None,None,1,None,6,None,1
2025-01-01,1,1,None,None,1,None,None,1,None,5,None,1
2025-01-02,1,1,None,None,1,None,None,1,None,7,None,1
2025-01-03,1,1,None,None,1,None,None,None,None,6,None,1
2025-01-04,None,None,None,None,None,None,None,None,None,None,None,None
2025-01-05,1,1,None,None,1,None,None,None,None,6,None,1
